# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:alpha
8	1.5625000000000000e-02	0	0	-3	32	32	-2.8000000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9610375521612404e-01
8	1.5625000000000000e-02	0	0	-2	32	32	-2.7200000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9610375521612404e-01
8	1.5625000000000000e-02	0	0	-1	32	32	-2.6400000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9610375521612404e-01
8	1.5625000000000000e-02	0	0	0	32	32	-2.5600000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9610375521612404e-01
8	1.5625000000000000e-02	0	0	1	32	32	-2.4800000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9597835888011321e-01
8	1.5625000000000000e-02	0	0	2	32	32	-2.4000000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9584460933146435e-01
8	1.5625000000000000e-02	0	0	3	32	32	-2.3200000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9570165677885292e-01
8	1.5625000000000000e-02	0	0	4	32	32	-2.2400000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9554851242732334e-01
8	1.5625000000000000e-02	0	0	5	32	32	-2.1600000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9538404608138820e-01
8	1.5625000000000000e-02	0	0	6	32	32	-2.0800000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9520695319825903e-01
8	1.5625000000000000e-02	0	0	7	32	32	-2.0000000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9501572067178468e-01
8	1.5625000000000000e-02	0	0	8	32	32	-1.9200000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9480858338402012e-01
8	1.5625000000000000e-02	0	0	9	32	32	-1.8400000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9458346941298481e-01
8	1.5625000000000000e-02	0	0	10	32	32	-1.7600000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9433793028077766e-01
8	1.5625000000000000e-02	0	0	11	32	32	-1.6800000000000000e+02	0.0000000000000000e+00	0.0000000000000000e+00	9.9406905124432610e-01
